자치구,CCTV 소계,CCTV 증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV 비율,오차
강남구,6502.0,36.906030257830814,538075.0,533359.0,4716.0,77222.0,0.8764577428797101,14.351530920410724,1.2083817311713052,2830.900146859957
관악구,4942.0,26.92926045016077,501572.0,488029.0,13543.0,79444.0,2.7001108514829375,15.839002177155024,0.9853022098522245,1420.1163038038221
송파구,2854.0,101.07991360691145,664996.0,659385.0,5611.0,96453.0,0.8437644737712708,14.504297770212151,0.4291755138376772,1335.924712890538
강서구,2560.0,62.60869565217392,581265.0,575875.0,5390.0,91505.0,0.9272878979467196,15.74238944371328,0.4404187418819299,1287.650980948868
노원구,2415.0,53.713527851458885,517038.0,513053.0,3985.0,87537.0,0.7707363868806548,16.9304770635814,0.467083657294048,1170.1052693078072
도봉구,1629.0,76.5934065934066,320711.0,318718.0,1993.0,63448.0,0.6214317563164344,19.783543439420537,0.50793393428975,1153.56409613524
성동구,3602.0,29.83569828230022,294140.0,287820.0,6320.0,46053.0,2.1486367036105256,15.65683008091385,1.2245869313932143,928.052250635038
구로구,4075.0,28.205980066445186,422361.0,397506.0,24855.0,71930.0,5.8847762932657135,17.03045498992568,0.9648144596683881,876.9132796052772
강동구,2547.0,62.58064516129033,467997.0,464163.0,3834.0,73228.0,0.8192360207437226,15.647108848988347,0.5442342579119097,837.6365529643808
동작구,2297.0,49.44115713346483,396122.0,387117.0,9005.0,66306.0,2.273289542110764,16.738782496301642,0.5798718576600139,793.8275158896113
성북구,3958.0,42.28089475614228,441717.0,432628.0,9089.0,74235.0,2.057652297738145,16.80600927743329,0.8960488276430385,680.7902504349227
영등포구,3778.0,54.38745231030098,401814.0,377536.0,24278.0,62108.0,6.042099080669165,15.456902945143772,0.940236029605738,663.9048522630205
마포구,2421.0,53.76486129458389,379525.0,369903.0,9622.0,54260.0,2.5352743561030238,14.296818391410316,0.6379026414597194,601.9826659650207
서초구,3704.0,27.422752808988765,420045.0,416285.0,3760.0,60493.0,0.8951421871466152,14.40155221464367,0.8818102822316657,515.3805732381843
동대문구,2497.0,26.67025862068966,351626.0,337846.0,13780.0,61759.0,3.918936597407473,17.563832026073158,0.7101295126071451,411.93775013407776
은평구,3791.0,63.84083044982699,477961.0,474062.0,3899.0,86724.0,0.8157569341431623,18.144576649559273,0.7931609482782068,365.6328279690033
종로구,1772.0,16.57894736842105,154318.0,145512.0,8806.0,27776.0,5.706398475874493,17.99919646444355,1.1482782306665458,330.38646683461866
광진구,2588.0,57.00992555831266,353380.0,341112.0,12268.0,51278.0,3.4716169562510615,14.510724998585092,0.7323561039108042,328.10771258317936
강북구,2462.0,194.8502994011976,304257.0,300887.0,3370.0,63914.0,1.1076162586234664,21.00658325034428,0.8091843408697252,253.3037984513685
중랑구,3296.0,155.625,393149.0,388554.0,4595.0,70908.0,1.168768075208127,18.035910049370596,0.8383589936639797,217.3254478282779
서대문구,2940.0,38.07810894141829,316415.0,306249.0,10166.0,54056.0,3.2128691749759017,17.08389298863834,0.9291594899104024,174.9969977537785
금천구,2374.0,59.543010752688176,244887.0,230644.0,14243.0,40691.0,5.816151939465958,16.6162352431938,0.9694267151788376,98.61242410522482
용산구,2383.0,66.57060518731988,238300.0,224145.0,14155.0,38906.0,5.9399916072177925,16.326479227864038,1.0,62.68623103097798
양천구,3312.0,23.52710133542812,452255.0,449010.0,3245.0,67880.0,0.7175155609114328,15.009231517617275,0.7323302119379553,8.286753150384357
